Cidade;Unidade;Ano;Mês;Tipo de Copo;Quantidade;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Julho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;10;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;5;;
Uberlândia;Centro de Tecnologia da Informaço e Comunicaço;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;4;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;4;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;2;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;2;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Licitaçġes;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;10;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;5;;
Uberlândia;Comisso Permanente de Sindicância e Inquérito Administrativo;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;8;;
