Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Janeiro;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Fevereiro;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Março;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Abril;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Maio;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Junho;1
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Julho;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Agosto;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Setembro;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Outubro;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Novembro;0
Uberlândia;Coordenação da Comissão de Residência Multiprofissional e Uniprofissional em Saúde;2023;Dezembro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Janeiro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Fevereiro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Março;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Abril;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Maio;4
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Junho;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Julho;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Agosto;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Setembro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Outubro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Novembro;0
Uberlândia;Coordenação de Extensão do Instituto de Letras e Linguística;2023;Dezembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Janeiro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Fevereiro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Março;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Abril;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Maio;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Junho;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Julho;3
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Agosto;3
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Setembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Outubro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Novembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;2023;Dezembro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Fevereiro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Março;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Junho;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Agosto;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Setembro;6
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Outubro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Novembro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;2023;Dezembro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Fevereiro;3
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Março;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Junho;3
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Agosto;0
