Cidade;Unidade;Ano;Mês;Quantidade;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Maio;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Junho;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Julho;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Agosto;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Setembro;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Outubro;0;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Novembro;5;;
Uberlândia;Coordenaço de Extenso do Instituto de Letras e Linguística;2023;Dezembro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Janeiro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Fevereiro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Março;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Abril;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Maio;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Junho;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Julho;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Agosto;10;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Setembro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Outubro;1;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Novembro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Agronomia - Monte Carmelo;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Setembro;10;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Ciências Sociais;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Junho;6;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Novembro;5;;
Uberlândia;Coordenaço do Curso de Graduaço em Dança;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Outubro;2;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Enfermagem;2023;Dezembro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Janeiro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Fevereiro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Março;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Abril;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Maio;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Junho;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Julho;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Agosto;15;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Setembro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Outubro;0;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Novembro;2;;
Monte Carmelo;Coordenaço do Curso de Graduaço em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Dezembro;6;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Março;15;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Engenharia de Alimentos;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Abril;10;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Geografia;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Abril;5;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em História;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Janeiro;4;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Fevereiro;4;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Março;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Julho;3;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Medicina;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Março;6;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Abril;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Maio;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Junho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Julho;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Setembro;2;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Novembro;6;;
Uberlândia;Coordenaço do Curso de Graduaço em Nutriço;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Março;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Abril;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Maio;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Junho;15;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Julho;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Outubro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Controle Ambiental;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Março;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Abril;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Maio;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Junho;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Julho;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Outubro;3;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Meio Ambiente;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Março;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Abril;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Maio;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Junho;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Julho;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Outubro;12;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Prótese Dentária;2023;Dezembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Janeiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Março;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Abril;5;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Maio;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Junho;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Julho;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Agosto;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Setembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Outubro;5;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Novembro;0;;
Uberlândia;Coordenaço do Curso Técnico em Saúde Bucal;2023;Dezembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Janeiro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Março;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Abril;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Maio;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Junho;6;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Julho;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Agosto;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Setembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Outubro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Novembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Estudos Literários;2023;Dezembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Janeiro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Fevereiro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Março;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Abril;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Maio;3;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Junho;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Julho;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Agosto;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Setembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Outubro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Novembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Matemática;2023;Dezembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Janeiro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Fevereiro;5;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Março;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Abril;10;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Maio;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Junho;6;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Julho;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Agosto;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Setembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Outubro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Novembro;0;;
Uberlândia;Coordenaço do Programa de Pós-Graduaço em Psicologia;2023;Dezembro;0;;
Uberlândia;Curso de Engenharia Civil;2023;Janeiro;0;;
Uberlândia;Curso de Engenharia Civil;2023;Fevereiro;0;;
Uberlândia;Curso de Engenharia Civil;2023;Março;0;;
Uberlândia;Curso de Engenharia Civil;2023;Abril;0;;
Uberlândia;Curso de Engenharia Civil;2023;Maio;0;;
Uberlândia;Curso de Engenharia Civil;2023;Junho;0;;
Uberlândia;Curso de Engenharia Civil;2023;Julho;0;;
Uberlândia;Curso de Engenharia Civil;2023;Agosto;0;;
Uberlândia;Curso de Engenharia Civil;2023;Setembro;20;;
Uberlândia;Curso de Engenharia Civil;2023;Outubro;0;;
