Cidade,Campus/Unidade,Mês,Ano,Quantidade em m³
Monte Carmelo,Araras,Fevereiro,2023,363
Monte Carmelo,Araras,Março,2023,398
Monte Carmelo,Araras,Abril,2023,336
Monte Carmelo,Araras,Maio,2023,503
Monte Carmelo,Araras,Junho,2023,494
Monte Carmelo,Araras,Julho,2023,674
Monte Carmelo,Araras,Agosto,2023,727
Monte Carmelo,Araras,Setembro,2023,783
Monte Carmelo,Araras,Outubro,2023,828
Monte Carmelo,Araras,Novembro,2023,788
Monte Carmelo,Araras,Dezembro,2023,736
Monte Carmelo,Boa Vista,Janeiro,2023,22
Monte Carmelo,Boa Vista,Fevereiro,2023,14
Monte Carmelo,Boa Vista,Março,2023,23
Monte Carmelo,Boa Vista,Abril,2023,14
Monte Carmelo,Boa Vista,Maio,2023,23
Monte Carmelo,Boa Vista,Junho,2023,17
Monte Carmelo,Boa Vista,Julho,2023,20
Monte Carmelo,Boa Vista,Agosto,2023,15
Monte Carmelo,Boa Vista,Setembro,2023,13
Monte Carmelo,Boa Vista,Outubro,2023,18
Monte Carmelo,Boa Vista,Novembro,2023,17
Monte Carmelo,Boa Vista,Dezembro,2023,16
Uberlândia,Educaç?o Física,Janeiro,2023,993
Uberlândia,Educaç?o Física,Fevereiro,2023,1423
Uberlândia,Educaç?o Física,Março,2023,458
Uberlândia,Educaç?o Física,Abril,2023,827
Uberlândia,Educaç?o Física,Maio,2023,1650
Uberlândia,Educaç?o Física,Junho,2023,864
Uberlândia,Educaç?o Física,Julho,2023,1923
Uberlândia,Educaç?o Física,Agosto,2023,2068
Uberlândia,Educaç?o Física,Setembro,2023,2073
Uberlândia,Educaç?o Física,Outubro,2023,1553
Uberlândia,Educaç?o Física,Novembro,2023,1781
Uberlândia,Educaç?o Física,Dezembro,2023,1390
Uberlândia,Glória,Janeiro,2023,977
Uberlândia,Glória,Fevereiro,2023,1377
Uberlândia,Glória,Março,2023,1286
Uberlândia,Glória,Abril,2023,1286
Uberlândia,Glória,Maio,2023,2669
Uberlândia,Glória,Junho,2023,1389
Uberlândia,Glória,Julho,2023,1602
Uberlândia,Glória,Agosto,2023,2256
Uberlândia,Glória,Setembro,2023,2501
Uberlândia,Glória,Outubro,2023,2754
Uberlândia,Glória,Novembro,2023,2515
Uberlândia,Glória,Dezembro,2023,2221
Uberlândia,Santa Mônica,Janeiro,2023,5751
Uberlândia,Santa Mônica,Fevereiro,2023,5749
Uberlândia,Santa Mônica,Março,2023,7536
Uberlândia,Santa Mônica,Abril,2023,7615
Uberlândia,Santa Mônica,Maio,2023,8379
Uberlândia,Santa Mônica,Junho,2023,7549
Uberlândia,Santa Mônica,Julho,2023,8579
Uberlândia,Santa Mônica,Agosto,2023,7775
Uberlândia,Santa Mônica,Setembro,2023,8888
